"krs","m.0","m.1","m.2","m.3","m.4","m.5","w.0","w.1","w.2","w.3","w.4","w.5"
5314,8609,16111,45067,53570,24702,8269,7996,15004,47534,56456,30804,13136
5315,28052,48275,148621,194717,81978,27725,26590,45661,155904,192268,97414,38459
5316,4091,7945,18776,28931,14575,5469,3913,7339,17789,29261,17791,7958
5334,12568,23653,87375,90220,50314,16032,12016,22434,69121,90310,57948,23474
5358,6316,12386,31865,46168,26289,7737,6014,11437,28250,46418,29737,11105
5362,11969,22492,52581,83682,44955,14383,11143,21269,49390,86240,52058,19927
5366,4452,8979,21473,34381,19983,5856,4436,8562,19774,35064,21707,8173
5370,5982,11937,29544,45614,25438,7334,5732,11256,26692,46307,27858,10628
5374,6717,13061,32020,47422,26374,8475,6411,12743,28483,48543,29798,12424
5378,6588,13587,29032,50015,28220,10130,6212,12560,27584,52686,32766,14075
5382,15017,30154,67493,104854,57742,18833,13785,27875,62195,109712,66264,25856
5512,2642,5068,13359,20657,11942,3433,2476,4782,12341,21017,14126,5540
5513,6895,12980,32955,45321,24446,7181,6469,11786,29387,43487,28224,11523
5515,7481,12984,49283,49914,23557,7617,6940,12095,53904,50762,27820,11962
5554,9531,18910,46159,67307,33437,9851,9129,18138,41523,65719,36604,14368
5558,5428,10527,25274,39415,21733,6187,5179,9918,22565,40133,24250,9320
5562,14309,27607,67727,107748,63587,19041,13434,25839,62952,109600,74228,29189
5566,11416,22622,54454,80376,41284,12481,10763,21138,48619,80160,45682,18619
5570,6800,13831,32363,49358,26650,8296,6375,12991,29043,49536,30215,12325
5711,8349,15943,44029,55216,27804,9737,8079,15150,44854,56076,33589,14960
5754,9240,18310,45388,66070,32404,10432,8764,17252,39839,64921,36264,15199
5758,5999,11974,28434,44175,24302,8075,5642,11288,26133,44654,27798,12309
5762,3122,6622,16361,24616,14753,4585,2984,6229,14069,24447,16118,6761
5766,8754,17588,40514,58369,34255,11485,8289,16500,36799,59475,39282,17081
5770,7666,15282,36515,53441,30397,10004,7086,14381,32558,53965,34518,14897
5774,7947,15076,43244,52980,26732,7643,7472,14361,38260,52149,29652,11374
5911,8100,14848,48709,60453,34592,10997,7665,13721,45518,60569,41771,17685
5913,14407,25989,78356,100458,52385,16791,14001,25108,72056,99742,61961,25756
5914,4823,9035,22408,32122,17847,5933,4514,8489,20909,31993,21388,9353
